date,description,amount,type,category,accountId
2022-05-11,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-10,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-10,Whole Foods,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,LITTLE DONKEY RESTAURA   617-9451008  MA,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,LITTLE DONKEY RESTAURA   617-9451008  MA,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,CVS,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,VIALE                    CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,LEVELUPSWEETGREEN1509    855-466-5585 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,TST* ALL STAR PIZZA BAR  CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,Whole Foods,,CashAndCreditTransaction,,63310740_7664647
2022-05-09,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-09,VENMO            DES:PAYMENT    ID:XXXXX96775684             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-09,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-09,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-07,TST* BARISMO 364 CAMBRIDGE MA,,CashAndCreditTransaction,,63310740_7664647
2022-05-07,INFOARMOR 800-7892720 AZ,,CashAndCreditTransaction,,63310740_7664647
2022-05-06,ORSTED ONSHORE S DES:PAYROLL    ID:040092                    INDN:MURPHY JOHN             CO ID:XXXXX22657 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-05-06,ORSTED ONSHORE S DES:PAYROLL    ID:040092                    INDN:MURPHY JOHN             CO ID:XXXXX22657 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-05-06,THE PLOUGH AND STARS     617-5760032  MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-06,Whole Foods,,CashAndCreditTransaction,,63310740_7664647
2022-05-06,USPS PO 2401020139       CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-06,VENMO            DES:PAYMENT    ID:XXXXX46819436             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-05,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-05-05,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-05-05,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-05-05,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-05-05,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-05-05,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-05-05,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-05-05,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-05-05,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-05-05,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
2022-05-05,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-05-05,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-05-05,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-05-05,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-05,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-05-05,EVERSOURCE       DES:WEB_PAY    ID:XXXXXXXXXX0422            INDN:JOHN MURPHY             CO ID:XXXXX42013 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-05,EVERSOURCE       DES:WEB_PAY    ID:XXXXXXXXXX0422            INDN:JOHN MURPHY             CO ID:XXXXX42013 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-04,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-03,YOU BOUGHT PERIODIC INVESTMENT CONF:035990977 AS OF 05-02-22 MORGAN STANLEY DISCOVERY PORT CL A (MAC,,InvestmentTransaction,,63310740_8578901
2022-05-03,YOU BOUGHT PERIODIC INVESTMENT CONF:036000782 AS OF 05-02-22 MORGAN STANLEY GROWTH PORTFOLIO A (MSEG,,InvestmentTransaction,,63310740_8578901
2022-05-03,SPOTIFY                  877-778-1161 NY ,,CashAndCreditTransaction,,63310740_7664647
2022-05-03,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-02,YOU BOUGHT PERIODIC INVESTMENT FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-05-02,YOU BOUGHT PERIODIC INVESTMENT CONF:010002520 CLEARBRIDGE SELECT FUND CL A (LCLAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-05-02,CASH CONTRIBUTION CURRENT YEAR (Cash),,InvestmentTransaction,,63310740_8578901
2022-05-02,YOU BOUGHT PERIODIC INVESTMENT FIDELITY EMERGING ASIA FUND (FSEAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-05-02,YOU BOUGHT PERIODIC INVESTMENT CONF:035734601 FEDERATED HERMES INTL SM MID CO CL A (ISCAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-05-02,PAYMENT - THANK YOU                      ,,CashAndCreditTransaction,,63310740_7664647
2022-05-02,LEVELUPSWEETGREEN1463    855-466-5585 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-05-02,VENMO            DES:PAYMENT    ID:XXXXX42122968             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-02,VENMO            DES:PAYMENT    ID:XXXXX44599683             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-05-02,Bank of America Credit Card Bill Payment,,CashAndCreditTransaction,,63310740_3389445
2022-05-02,Zelle Transfer Conf# kjcb9s5dr;                             ABEL DESIGNS LLC,,CashAndCreditTransaction,,63310740_3389445
2022-05-02,FID BKG SVC LLC  DES:MONEYLINE  ID:XXXXX2435 ATNT6           INDN:JOHN J MURPHY           CO ID:XXXXX04600 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-05-01,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-30,BT LIFE ALIVEZGBYJTD4 888-987-7537 PA,,CashAndCreditTransaction,,63310740_7664647
2022-04-29,Venmo,,CashAndCreditTransaction,,63310740_3389445
2022-04-28,Apple,,CashAndCreditTransaction,,63310740_7664647
2022-04-28,Uber.com,,CashAndCreditTransaction,,63310740_7664647
2022-04-27,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-04-27,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-04-27,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-04-27,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-04-27,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-04-27,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-04-27,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
2022-04-27,Venmo,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,VENMO            DES:PAYMENT    ID:XXXXX22062804             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,VENMO            DES:PAYMENT    ID:XXXXX24775305             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,VENMO            DES:PAYMENT    ID:XXXXX22059491             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-25,THE HUB PUB              617-2278952  MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,DAILY TABLE              CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,CONVENIENCE PLUS         CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,SQ *1369 COFFEEHOUSE     Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,TST* GRENDEL'S DEN RESTAUCAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,SQ *BROADSHEET COFFEE ROACambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-25,LS DANA HILL LIQUORS     617-5476199  MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-23,SQ *CLOVER FOOD LAB      Boston       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-22,BT LIFE ALIVEZGBYJTD4 888-987-7537 PA,,CashAndCreditTransaction,,63310740_7664647
2022-04-22,Bed Bath & Beyond,,CashAndCreditTransaction,,63310740_7664647
2022-04-22,ORSTED ONSHORE S DES:PAYROLL ID:040092 INDN:MURPHY JOHN CO ID: PPD,,CashAndCreditTransaction,,63310740_3389445
2022-04-21,TST* BARISMO 364         CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-20,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-04-20,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-04-20,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-04-20,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-04-20,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-04-20,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
2022-04-20,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-04-20,VENMO            DES:PAYMENT    ID:XXXXX41221511             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-20,Interest Earned,,CashAndCreditTransaction,,63310740_3389446
2022-04-19,Management Fee,,InvestmentTransaction,,63310740_7876057
2022-04-18,VENMO            DES:PAYMENT    ID:XXXXX03919657             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,VENMO            DES:PAYMENT    ID:XXXXX87746938             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,VENMO            DES:PAYMENT    ID:XXXXX03918236             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,Bank of America Credit Card Bill Payment,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,VENMO            DES:PAYMENT    ID:XXXXX03916478             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-18,MBTA MTICKET             617-222-3200 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-18,Uber.com,,CashAndCreditTransaction,,63310740_7664647
2022-04-18,PAYMENT - THANK YOU                      ,,CashAndCreditTransaction,,63310740_7664647
2022-04-18,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-18,LEVELUPSWEETGREEN8300    855-466-5585 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-18,HLU*Hulu 1345156613590-U HULU.COM/BILLCA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-16,TST* BARISMO 364         CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-16,NOOR BROTHERS CORPORATIO BRIGHTON     MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-15,Automatic Transfer from CHK 1163                            Confirmation# XXXXX59129,,CashAndCreditTransaction,,63310740_3389446
2022-04-15,USPS PO 2401020139       CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-15,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-15,LINKEDIN-775*8900094     LNKD.IN/BILL CA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-15,Automatic Transfer to SAV 0277                              Confirmation# XXXXX59129,,CashAndCreditTransaction,,63310740_3389445
2022-04-15,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-14,VENMO            DES:PAYMENT    ID:XXXXX29834110             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-14,Media Works Inc,,CashAndCreditTransaction,,63310740_3389445
2022-04-14,Hello Code Exist,,CashAndCreditTransaction,,63310740_7664647
2022-04-13,SWEETGREEN BOY           BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-13,TST* TATTE BAKERY - BACK BOSTON       MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-13,BT LIFE  ALIVEZGBYJTD4   888-987-7537 PA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-13,COMCAST CABLE COMM       800-COMCAST  NH ,,CashAndCreditTransaction,,63310740_7664647
2022-04-12,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-12,"Cambridge Natural Foods, Inc.",,CashAndCreditTransaction,,63310740_7664647
2022-04-12,A MEDIUM CORPORATION 415-508-5008 CA,,CashAndCreditTransaction,,63310740_7664647
2022-04-11,VENMO            DES:PAYMENT    ID:XXXXX77727366             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-11,VENMO            DES:PAYMENT    ID:XXXXX77727366             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-11,LEVELUPSWEETGREEN9867    855-466-5585 MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-11,ALBERTS MARKET           CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-11,SQ *1369 COFFEEHOUSE     Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-11,Whole Foods,,CashAndCreditTransaction,,63310740_7664647
2022-04-08,REINVESTMENT FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-08,LONG-TERM CAP GAIN FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-08,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-04-08,FID 500 INDEX,,InvestmentTransaction,,63310740_7550884
2022-04-08,INFOARMOR                800-7892720  AZ ,,CashAndCreditTransaction,,63310740_7664647
2022-04-08,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-04-08,VENMO            DES:PAYMENT    ID:XXXXX32376472             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-08,ORSTED ONSHORE S DES:PAYROLL    ID:040092                    INDN:MURPHY JOHN             CO ID:XXXXX22657 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-04-06,VENMO            DES:PAYMENT    ID:XXXXX98211924             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-05,EVERSOURCE       DES:WEB_PAY    ID:XXXXXXXXXX0122            INDN:JOHN MURPHY             CO ID:XXXXX42013 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-05,EVERSOURCE       DES:WEB_PAY    ID:XXXXXXXXXX0122            INDN:JOHN MURPHY             CO ID:XXXXX42013 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-05,Target,,CashAndCreditTransaction,,63310740_7664647
2022-04-05,STARBUCKS STORE 00810    CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,FID REAL ESTATE INVS,,InvestmentTransaction,,63310740_9077114
2022-04-04,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-04-04,FID 500 INDEX,,InvestmentTransaction,,63310740_9077114
2022-04-04,PAX GLB ENV MKT IS,,InvestmentTransaction,,63310740_9077114
2022-04-04,FID FDM IDX 2065 IPR,,InvestmentTransaction,,63310740_9077114
2022-04-04,CRLN E MID CAP GR R6,,InvestmentTransaction,,63310740_9077114
2022-04-04,TRP BLUE CHIP GRTH I,,InvestmentTransaction,,63310740_9077114
2022-04-04,TST* The Nu Do Society   516-636-4995 MA,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,TST* The Nu Do Society   516-636-4995 MA,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,SQ *SAPPORO RAMEN        Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,Lyft,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,BROADWAY MARKETPLAC      CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,Target,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,SQ *1369 COFFEEHOUSE     Cambridge    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,Uber.com,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,SPOTIFY                  877-778-1161 NY ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,TST* PARIS BAGUETTE - H MCAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,H MART - CAMBRIDGE       CAMBRIDGE    MA ,,CashAndCreditTransaction,,63310740_7664647
2022-04-04,VENMO            DES:PAYMENT    ID:XXXXX53955916             INDN:JOHN MURPHY             CO ID:XXXXX81992 WEB,,CashAndCreditTransaction,,63310740_3389445
2022-04-01,CASH CONTRIBUTION CURRENT YEAR (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT CONF:035997893 MORGAN STANLEY GROWTH PORTFOLIO A (MSEGX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT CONF:035734576 FEDERATED HERMES INTL SM MID CO CL A (ISCAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT FIDELITY SELECT SEMICONDUCTORS PORT (FSELX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT FIDELITY EMERGING ASIA FUND (FSEAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT CONF:035988603 MORGAN STANLEY DISCOVERY PORT CL A (MACGX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,YOU BOUGHT PERIODIC INVESTMENT CONF:010001670 CLEARBRIDGE SELECT FUND CL A (LCLAX) (Cash),,InvestmentTransaction,,63310740_8578901
2022-04-01,PAYMENT - THANK YOU                      ,,CashAndCreditTransaction,,63310740_7664647
2022-04-01,FID BKG SVC LLC  DES:MONEYLINE  ID:XXXXX2435 8RM3U           INDN:JOHN J MURPHY           CO ID:XXXXX04600 PPD,,CashAndCreditTransaction,,63310740_3389445
2022-04-01,Zelle Transfer Conf# kl5stqvwg;                             ABEL DESIGNS LLC,,CashAndCreditTransaction,,63310740_3389445
2022-04-01,Bank of America Credit Card Bill Payment,,CashAndCreditTransaction,,63310740_3389445
2022-04-01,Venmo Des Cashout,,CashAndCreditTransaction,,63310740_3389445
2022-03-30,DFA US SM CAP VALUE,,InvestmentTransaction,,63310740_9077114
2022-03-30,ISHARES CORE S&P SMALL CAP ETFCASH DIV ON 1.96749 SHS REC 03/25/22 PAY 03/30/22,,InvestmentTransaction,,63310740_7876057
